year_month,MSL_filtered_GIA_TPA_corrected_adjusted,chlor_a,sst_anomaly_filtered,value,greenland_mass_antarctica
1982-01,,,,,
1982-02,,,,,
1982-03,,,,,
1982-04,,,,,
1982-05,,,,,
1982-06,,,,,
1982-07,,,,,
1982-08,,,,,
1982-09,,,,,
1982-10,,,,,
1982-11,,,,,
1982-12,,,,,
1983-01,,,-0.99098366,,
1983-02,,,-1.0156205,,
1983-03,,,-1.0341288,,
1983-04,,,-1.0424277,,
1983-05,,,-1.0594907,,
1983-06,,,-1.1118072,,
1983-07,,,-1.1778748,,
1983-08,,,-1.2231166,,
1983-09,,,-1.2572497,,
1983-10,,,-1.2913964,,
1983-11,,,-1.3072218,,
1983-12,,,-1.2856736,,
1984-01,,,-1.2541541,,
1984-02,,,-1.2245597,,
1984-03,,,-1.1958174,,
1984-04,,,-1.175391,,
1984-05,,,-1.1677396,,
1984-06,,,-1.1532793,,
1984-07,,,-1.1430491,,
1984-08,,,-1.1403985,,
1984-09,,,-1.1233208,,
1984-10,,,-1.1025554,,
1984-11,,,-1.0848985,,
1984-12,,,-1.0652864,,
1985-01,,,-1.0395648,,
1985-02,,,-1.0192568,,
1985-03,,,-1.0008935,,
1985-04,,,-0.97993964,,
1985-05,,,-0.93244326,,
1985-06,,,-0.86758834,,
1985-07,,,-0.81968784,,
1985-08,,,-0.7688557,,
1985-09,,,-0.7076791,,
1985-10,,,-0.65383804,,
1985-11,,,-0.63139755,,
1985-12,,,-0.63504046,,
1986-01,,,-0.6435652,,
1986-02,,,-0.65686744,,
1986-03,,,-0.6696043,,
1986-04,,,-0.6845093,,
1986-05,,,-0.71239173,,
1986-06,,,-0.7549666,,
1986-07,,,-0.77939254,,
1986-08,,,-0.78036654,,
1986-09,,,-0.7617724,,
1986-10,,,-0.73569083,,
1986-11,,,-0.73035103,,
1986-12,,,-0.7381006,,
1987-01,,,-0.74103296,,
1987-02,,,-0.7281713,,
1987-03,,,-0.717973,,
1987-04,,,-0.7162138,,
1987-05,,,-0.7207686,,
1987-06,,,-0.7294781,,
1987-07,,,-0.7195513,,
1987-08,,,-0.6996757,,
1987-09,,,-0.70263845,,
1987-10,,,-0.7216711,,
1987-11,,,-0.73370403,,
1987-12,,,-0.7501472,,
1988-01,,,-0.7591819,,
1988-02,,,-0.75306326,,
1988-03,,,-0.7403202,,
1988-04,,,-0.7099248,,
1988-05,,,-0.66499174,,
1988-06,,,-0.6290915,,
1988-07,,,-0.621072,,
1988-08,,,-0.6180948,,
1988-09,,,-0.6313651,,
1988-10,,,-0.6741816,,
1988-11,,,-0.69278055,,
1988-12,,,-0.67863226,,
1989-01,,,-0.6680515,,
1989-02,,,-0.66454244,,
1989-03,,,-0.6532406,,
1989-04,,,-0.63895255,,
1989-05,,,-0.618534,,
1989-06,,,-0.59953755,,
1989-07,,,-0.59992397,,
1989-08,,,-0.6146186,,
