Colonne 1,Colonne 2,Colonne 3,Colonne 11
year,month,day,value
2013,3,21,400.36
2013,3,29,400.31
2013,4,4,399.72
2013,4,11,402.09
2013,4,18,401.64
2013,4,26,399.63
2013,5,10,398.88
2013,5,17,401.01
2013,5,24,398.55
2013,5,31,400.02
2013,6,7,396.79
2013,6,13,394.58
2013,6,21,398.04
2013,7,5,394.18
2013,7,11,387.33
2013,7,18,390.82
2013,7,25,388.44
2013,8,2,393.87
2013,8,10,389.11
2013,8,16,390.32
2013,8,22,394.18
2013,8,30,394.25
2013,9,5,392.8
2013,9,13,389.96
2013,10,25,395.78
2013,11,8,396.35
2013,11,22,399.54
2013,12,14,399.05
2013,12,19,401.02
2013,12,28,401.04
2014,1,11,401.24
2014,1,23,401.99
2014,2,6,402.37
2014,2,21,401.36
2014,3,7,409.42
2014,3,22,402.33
2014,3,29,404.09
2014,4,11,401.87
2014,5,2,403.76
2014,5,16,401.53
2014,5,24,397.56
2014,5,30,399.35
2014,6,6,397.23
2014,6,13,396.95
2014,6,27,399.51
2014,7,11,392.44
2014,7,18,392.43
2014,7,25,397.1
2014,8,2,391.52
2014,8,8,387.87
2014,8,22,390.59
2014,8,29,392.92
2014,9,11,395.33
2014,9,26,394.15
2014,10,10,397.45
2014,10,16,398.61
2014,10,25,400.46
2014,11,8,399.87
2014,11,14,400.46
2014,11,21,401.58
2014,12,6,405.61
2014,12,13,402.22
2014,12,27,404.17
2015,1,9,403.31
2015,1,17,401.9
2015,1,30,401.69
2015,2,7,403.71
2015,2,13,404.13
2015,2,20,404.92
2015,2,27,404.83
2015,3,6,406.72
2015,3,13,405.56
2015,3,20,404.5
2015,3,27,402.94
2015,4,3,403.19
2015,4,10,405.85
2015,4,18,403.85
2015,4,23,404.53
2015,5,1,402.89
2015,5,15,404.95
2015,5,22,399.71
2015,5,29,401.72
2015,6,5,403.02
2015,6,12,399.17
2015,6,19,398.25
2015,6,26,399.07
2015,7,3,396.21
2015,7,10,396.12
2015,7,17,396.35
2015,7,24,402.2
2015,7,31,405.64
2015,8,7,398.09
2015,8,21,391.55
2015,9,4,398.5
2015,9,11,393.38
2015,9,18,396.54
2015,9,25,396.81
2015,10,9,399.44
2015,10,16,401.75
2015,10,30,400.71
2015,11,6,402.48
2015,11,12,403.36
2015,11,20,409.57
2015,11,27,407.28
2015,12,4,402.49
2015,12,11,408.59
2015,12,18,405.63
2015,12,31,404.45
2016,1,8,405.75
2016,1,15,407.09
2016,1,22,406.65
2016,1,29,405.71
2016,2,5,406.81
2016,2,12,405.0
2016,2,26,406.96
2016,3,4,408.65
2016,3,11,407.41
2016,3,18,408.93
2016,3,26,409.39
2016,4,1,406.56
2016,4,15,408.29
2016,4,22,406.45
2016,4,29,408.8
2016,5,6,404.11
2016,5,13,409.02
2016,5,19,406.05
2016,5,27,406.03
2016,6,17,405.63
2016,6,24,402.96
2016,7,1,401.76
2016,7,8,402.93
2016,7,15,398.44
2016,7,22,398.6
2016,7,29,395.0
2016,8,5,400.43
2016,8,12,396.15
2016,8,19,399.38
2016,8,26,399.14
2016,9,3,399.24
2016,9,9,401.09
2016,9,16,402.51
2016,9,30,402.84
2016,10,8,404.12
2016,10,14,402.3
2016,10,28,412.05
2016,11,4,411.37
2016,11,11,410.59
2016,11,18,405.69
2016,11,24,406.87
2016,12,2,409.29
2016,12,9,406.63
2016,12,23,409.47
2016,12,30,409.75
2017,1,13,410.55
2017,1,20,408.97
2017,1,27,412.94
2017,2,3,409.8
2017,2,10,410.37
2017,2,17,410.48
2017,2,24,410.6
2017,3,4,409.45
2017,3,10,409.32
2017,3,17,413.36
2017,3,31,411.07
2017,4,7,409.5
2017,4,14,409.47
2017,4,21,413.34
2017,4,28,409.68
2017,5,5,411.57
2017,5,12,410.74
2017,5,19,490.44
2017,6,2,403.59
2017,6,9,410.78
2017,6,16,403.6
2017,6,23,403.41
2017,6,30,408.47
2017,7,7,403.31
2017,7,14,403.4
2017,7,21,397.42
2017,7,28,400.98
2017,8,11,399.37
2017,8,18,404.37
2017,8,25,401.46
2017,9,1,402.81
2017,9,8,401.51
2017,9,15,402.5
2017,9,29,406.15
2017,10,6,408.77
2017,10,13,404.35
2017,11,3,408.58
2017,11,10,407.07
2017,11,17,411.39
2017,11,24,410.2
2017,12,1,411.58
2017,12,8,410.58
2017,12,15,409.78
2017,12,29,411.23
2018,1,19,412.19
2018,1,26,412.14
2018,2,2,411.75
2018,2,9,413.18
2018,2,16,414.63
2018,2,23,418.42
2018,3,2,411.25
2018,3,9,413.42
2018,3,16,411.22
2018,3,23,413.02
2018,3,29,412.67
2018,4,6,413.71
2018,4,14,413.13
2018,4,20,417.51
2018,5,4,411.63
2018,5,11,413.47
2018,5,18,414.67
2018,5,19,413.93
2018,5,25,410.11
2018,6,1,404.71
2018,6,8,410.2
2018,6,15,405.87
2018,6,21,408.56
2018,6,29,406.07
2018,7,6,410.42
2018,7,13,406.6
2018,7,20,405.7
2018,7,27,402.07
2018,8,3,405.36
2018,8,10,399.52
2018,8,24,405.03
2018,8,31,402.28
2018,9,7,406.84
2018,9,14,407.82
2018,9,20,405.79
2018,9,27,403.27
2018,10,5,407.77
2018,10,12,405.77
2018,10,19,407.75
2018,10,26,409.53
2018,10,31,406.21
2018,11,9,409.05
2018,11,16,409.84
2018,11,23,411.03
2018,11,30,414.7
2018,12,7,410.8
2018,12,14,411.29
2018,12,20,411.58
2018,12,28,414.28
2019,1,11,417.02
2019,1,18,413.72
2019,1,25,416.66
2019,2,1,413.15
2019,2,8,415.09
2019,2,22,414.06
2019,3,1,416.48
2019,3,8,415.0
2019,3,15,414.12
2019,3,22,414.19
2019,3,29,416.91
2019,4,5,415.22
2019,4,12,416.88
2019,4,18,415.33
2019,5,3,414.17
2019,5,10,416.09
2019,5,17,413.25
2019,5,24,410.14
2019,5,31,411.49
2019,6,7,412.09
2019,6,14,414.14
2019,6,21,414.39
2019,6,28,409.29
2019,7,4,407.47
2019,7,12,409.95
2019,7,19,405.31
2019,7,26,406.08
2019,8,2,409.7
2019,8,9,408.63
2019,8,16,402.74
2019,8,23,401.78
2019,8,30,410.19
2019,9,6,405.66
2019,9,13,407.18
2019,9,20,408.58
2019,9,27,406.75
2019,10,4,410.35
2019,10,18,410.52
2019,10,25,412.33
2019,11,1,412.19
2019,11,8,415.86
2019,11,15,411.14
2019,11,22,413.79
2019,11,29,419.12
2019,12,6,414.79
2019,12,13,416.01
2019,12,21,414.86
2020,1,3,416.14
2020,1,10,415.19
2020,1,17,417.02
2020,1,24,416.91
2020,1,31,416.63
2020,2,7,417.36
2020,2,14,417.22
2020,2,21,418.13
2020,2,28,416.45
2020,3,6,418.35
2020,3,13,417.66
2020,3,20,418.09
2020,3,27,418.78
2020,4,3,420.69
2020,4,10,418.09
2020,4,17,417.06
2020,4,24,420.17
2020,5,1,415.92
2020,5,8,414.41
2020,5,15,418.51
2020,5,22,417.41
2020,5,29,414.78
2020,6,5,415.34
2020,6,12,413.38
2020,6,19,414.52
2020,6,26,411.07
2020,7,3,414.44
2020,7,17,409.67
2020,7,24,405.65
2020,7,31,407.47
2020,8,7,410.64
2020,8,14,406.81
2020,8,21,407.89
2020,8,28,408.54
2020,9,4,408.75
2020,9,11,412.66
2020,9,18,412.41
2020,9,25,412.57
2020,10,2,410.83
2020,10,9,414.28
2020,10,16,411.97
2020,10,23,415.23
2020,10,30,414.96
2020,11,6,414.51
2020,11,13,416.21
2020,11,20,415.44
2020,11,27,417.64
2020,12,4,418.71
2020,12,11,418.61
2020,12,18,418.98
2020,12,23,417.12
2020,12,30,416.38
2021,1,8,418.11
2021,1,15,418.35
2021,1,22,419.34
2021,1,29,419.83
2021,2,5,417.85
2021,2,12,423.35
2021,2,19,420.59
2021,2,26,423.15
2021,3,5,420.56
2021,3,12,421.29
2021,3,19,421.53
2021,3,26,421.34
2021,4,1,419.54
2021,4,9,421.83
2021,4,23,423.76
2021,4,30,419.21
2021,5,7,418.18
2021,5,14,422.75
2021,5,21,420.16
2021,5,28,420.11
2021,6,4,412.67
2021,6,11,416.46
2021,6,18,415.1
2021,6,25,420.55
2021,7,2,418.16
2021,7,9,417.62
2021,7,16,411.76
2021,7,23,411.39
2021,7,29,407.91
2021,8,6,410.15
2021,8,13,412.83
2021,8,20,409.72
2021,8,27,410.31
2021,9,3,410.83
2021,9,10,412.16
2021,9,17,412.53
2021,9,24,413.46
2021,10,1,412.51
2021,10,8,415.37
2021,10,15,413.96
2021,10,22,419.24
2021,10,29,417.76
2021,11,5,418.31
2021,11,12,419.38
2021,11,19,419.56
2021,11,26,424.75
2021,12,4,421.46
2021,12,10,420.66
2021,12,17,424.48
2021,12,23,420.37
2022,1,7,424.31
2022,1,14,423.02
2022,1,21,420.44
2022,1,29,424.98
2022,2,4,422.89
2022,2,11,423.48
2022,2,18,418.64
2022,2,25,423.97
2022,3,4,424.63
2022,3,11,423.51
2022,3,18,423.19
2022,3,25,423.91
2022,4,1,423.19
2022,4,8,423.86
2022,4,22,423.61
2022,4,23,425.31
2022,5,6,421.16
2022,5,13,419.48
2022,5,20,421.02
2022,5,27,423.04
2022,6,10,420.21
2022,6,17,413.81
2022,6,24,416.8
2022,7,1,422.45
2022,7,8,416.38
2022,7,15,413.09
2022,7,22,413.69
2022,8,12,413.31
2022,8,19,414.81
2022,8,26,418.73
2022,9,2,416.67
2022,9,9,415.49
2022,9,16,414.06
2022,9,23,413.61
2022,9,30,415.75
2022,10,7,415.91
2022,10,14,420.6
2022,10,21,417.01
2022,10,28,417.19
2022,11,5,423.49
2022,11,11,419.17
2022,11,18,423.16
2022,11,25,421.72
2022,12,2,422.48
2022,12,9,422.69
2022,12,16,418.71
2022,12,23,424.2
2022,12,30,421.26
2023,1,13,423.34
2023,1,20,424.38
2023,1,27,428.46
2023,2,3,423.35
2023,2,17,424.82
2023,2,24,426.45
2023,3,3,425.01
2023,3,11,424.83
2023,3,17,425.1
2023,3,24,425.8
2023,3,31,428.78
2023,4,7,425.8
2023,4,14,425.74
2023,4,21,425.77
2023,5,5,426.43
2023,5,12,424.01
2023,5,19,420.91
2023,5,26,423.16
2023,6,9,422.44
2023,6,16,417.8
2023,6,30,422.18
2023,7,7,420.0
2023,7,14,413.11
2023,7,21,426.21
2023,8,4,417.02
2023,8,11,410.42
2023,8,25,415.77
2023,9,1,413.3
2023,9,15,415.37
2023,9,29,421.41
2023,10,6,419.76
2023,10,14,418.6
2023,10,27,423.64
2023,11,3,421.82
2023,11,10,423.53
2023,11,17,425.07
2023,12,1,425.29
2023,12,16,433.99
2023,12,23,423.98
2023,12,30,423.71
2024,1,5,425.46
2024,1,12,427.96
2024,1,19,425.8
2024,1,26,427.3
2024,2,2,426.32
2024,2,9,423.48
2024,2,16,428.21
2024,2,23,428.4
2024,3,8,426.9
2024,3,15,427.72
2024,3,22,428.12
2024,3,30,427.35
2024,4,5,427.8
2024,4,12,429.75
2024,4,13,428.08
2024,5,3,428.68
2024,5,17,426.71
2024,5,24,426.96
2024,5,31,424.5
2024,6,7,423.04
2024,6,14,422.3
2024,6,21,425.09
2024,6,28,424.06
2024,7,5,419.23
2024,7,19,421.93
2024,7,26,420.67
2024,8,2,424.73
2024,8,9,422.83
2024,8,23,418.39
2024,8,30,422.47
2024,9,6,421.31
2024,9,13,416.63
2024,9,20,421.35
2024,10,11,423.09
2024,10,18,424.85
2024,10,25,423.69
2024,11,8,425.07
