time,MSL_filtered_GIA_TPA_corrected_adjusted,trend_MSL_filtered_GIA_TPA_corrected_adjusted
1993-01-16 00:00:00,-1.9917211774193548,2.0097913677419355
1993-02-14 12:00:00,-0.9555542307142858,2.0284304107142854
1993-03-16 00:00:00,0.3165272445280645,2.0470787548387097
1993-04-15 12:00:00,1.54954417,2.0663687366666665
1993-05-16 00:00:00,2.0832852838709677,2.0856684838709674
1993-06-15 12:00:00,1.8555350066666667,2.1049779666666666
1993-07-16 00:00:00,1.6532283129032257,2.1242972516129033
1993-08-16 00:00:00,1.9429423548387095,2.1439431483870965
1993-09-15 12:00:00,2.319861883333333,2.16328205
1993-10-16 00:00:00,2.242018612903226,2.1826307064516133
1993-11-15 12:00:00,1.7886251633333332,2.2019890600000003
1993-12-16 00:00:00,1.3726301838709678,2.2213571774193546
1994-01-16 00:00:00,1.1712367580645162,2.2410527967741936
1994-02-14 12:00:00,1.152731692857143,2.2598046785714287
1994-03-16 00:00:00,1.3355997161290323,2.2785658193548386
1994-04-15 12:00:00,1.7514926333333334,2.2979724533333337
1994-05-16 00:00:00,2.1723672741935482,2.3173888258064514
1994-06-15 12:00:00,2.2158725533333334,2.3368148966666666
1994-07-16 00:00:00,1.9166400677419355,2.3562507838709674
1994-08-16 00:00:00,1.7378623709677419,2.3760152354838713
1994-09-15 12:00:00,1.8487728966666666,2.3954707633333334
1994-10-16 00:00:00,2.044964235483871,2.4149359967741937
1994-11-15 12:00:00,2.1730231033333336,2.4344109866666668
1994-12-16 00:00:00,2.231730529032258,2.453895751612903
1995-01-16 00:00:00,2.097922803225807,2.473709883870968
1995-02-14 12:00:00,1.6604427249999998,2.492574575
1995-03-16 00:00:00,1.1427696074193547,2.511448525806452
1995-04-15 12:00:00,0.986073157,2.5309717299999996
1995-05-16 00:00:00,1.4211065645161292,2.550504741935484
1995-06-15 12:00:00,2.09344176,2.5700474766666668
1995-07-16 00:00:00,2.333919177419355,2.5895999548387096
1995-08-16 00:00:00,1.8808414548387098,2.6094829548387097
1995-09-15 12:00:00,1.4601525700000002,2.629055043333333
1995-10-16 00:00:00,2.187958329032258,2.648636983870968
1995-11-15 12:00:00,4.287329369999999,2.6682285566666666
1995-12-16 00:00:00,6.614800819354838,2.687829938709678
1996-01-16 00:00:00,7.637807054838709,2.7077626032258064
1996-02-15 00:00:00,6.976854696551724,2.7270618551724137
1996-03-16 00:00:00,5.483842216129032,2.746370622580645
1996-04-15 12:00:00,4.094911773333333,2.7660107733333335
1996-05-16 00:00:00,3.0884966516129033,2.785660716129032
1996-06-15 12:00:00,2.3240857966666666,2.8053203666666664
1996-07-16 00:00:00,1.8404621870967743,2.8249898258064516
1996-08-16 00:00:00,1.8727963677419355,2.844991658064516
1996-09-15 12:00:00,2.6511088133333334,2.864680696666667
1996-10-16 00:00:00,4.266658706451612,2.8843795612903222
1996-11-15 12:00:00,6.237456033333333,2.90408809
1996-12-16 00:00:00,7.286822558064516,2.9238064322580644
1997-01-16 00:00:00,6.276663,2.9438579612903224
1997-02-14 12:00:00,3.8611245785714283,2.962948546428571
1997-03-16 00:00:00,1.859179177419355,2.982048383870968
1997-04-15 12:00:00,1.59056522,3.00180514
1997-05-16 00:00:00,2.724056906451613,3.0215717741935486
1997-06-15 12:00:00,3.618306146666667,3.0413480366666668
